,TsunamiNanCauseNanCode,EarthquakeNanMagnitude,MaximumNanWaterNanHeightNan(m),TotalNanDeaths,TsunamiNanIntensity,NumberNanofNanRunups
0,1,,,,0.0,1
1,3,,,5.0,,1
2,1,6.8,,,,3
3,1,7.1,3.0,,1.5,1
4,1,6.9,,5.0,1.5,4
5,1,7.7,10.0,25.0,,5
6,3,6.7,,,,1
7,1,7.2,3.0,4.0,4.0,1
8,1,6.0,,,,0
9,1,7.5,0.25,,-1.5,4
10,1,7.2,0.6,,-0.5,3
11,1,7.9,1.2,,,10
12,1,7.4,0.25,18.0,-1.0,2
13,1,6.3,0.02,,,1
14,1,7.0,,,0.0,1
15,1,7.0,1.5,,,1
16,1,7.1,,,,1
17,2,6.3,,,,0
18,1,7.0,,185.0,2.0,4
19,1,7.5,,2000.0,,0
20,7,,5.0,23.0,,1
21,6,,1.0,1680.0,,3
22,6,,,28000.0,,1
23,6,,,,,4
24,0,,,,,1
25,1,6.6,,,2.0,1
26,0,,,,,1
27,1,,,,,1
28,1,7.3,,,2.0,1
29,6,,1.0,1500.0,,1
30,2,,,,,0
31,1,,0.15,,2.0,1
32,1,6.5,1.0,,0.0,2
33,1,,,,2.0,0
34,1,,,,,0
35,6,,,,,1
36,1,,,,0.0,1
37,1,,,,,1
38,9,,,,,1
39,9,,,,,1
40,0,,,,,1
41,9,,,,,1
42,9,,,,,1
43,9,,15.7,,3.0,3
44,1,6.5,,,,1
45,1,7.9,,,,1
46,0,,,,0.5,1
47,9,,,,0.5,5
48,1,8.3,,,2.0,1
49,1,8.1,,,,0
50,1,,,,1.0,1
51,1,7.2,3.0,,,0
52,2,,,,,0
53,1,,,,0.0,1
54,1,7.2,,,,1
55,0,,,,,0
56,8,,40.5,61.0,,4
57,1,6.3,,,,0
58,1,6.8,,,,1
59,1,,,,,1
60,2,,,1.0,,1
61,1,,0.6,,,1
62,1,7.8,,19000.0,,1
63,8,,33.53,,2.5,4
64,1,7.0,,57.0,,1
65,6,,,,0.5,0
66,8,,6.0,15.0,,0
67,1,7.1,1.3,557.0,4.0,0
68,1,5.1,0.5,,2.0,1
69,1,7.5,,,,0
70,3,7.2,3.0,11.0,,1
71,1,,,,,1
72,1,,,,,1
73,1,6.5,,,0.0,1
74,1,,,,3.0,1
75,0,,,,,1
76,1,8.8,5.0,1000.0,3.0,58
77,1,,,,,6
78,1,,0.25,,0.5,1
79,1,,,,,0
80,6,,0.4,350.0,3.0,0
81,3,7.9,0.1,,-4.0,3
82,1,,,,,2
83,0,,,,,1
84,0,,,,,1
85,0,,0.02,,,1
86,1,8.2,3.5,4000.0,2.0,35
87,1,8.0,1.5,,1.5,7
88,1,7.2,1.2,,1.5,2
89,9,,,,,1
90,1,5.0,,,,1
91,6,,,,,1
92,1,7.9,,,,0
93,2,,,,,1
94,1,8.2,15.0,2188.0,2.0,88
95,1,6.2,2.5,1000.0,,10
96,1,7.3,4.0,,2.0,1
97,1,8.1,2.0,8.0,,3
98,6,,,,,1
99,6,,,,,1
100,6,,,,,1
101,6,,,,,1
102,6,,,,,1
103,6,,,,0.5,1
104,3,5.5,0.7,,0.0,1
105,6,,3.6,,,2
106,1,5.9,,158.0,3.0,2
107,1,7.4,,,,1
108,1,7.5,1.4,,1.0,1
109,3,6.0,,,,1
110,1,6.6,,,,1
111,8,,15.0,33.0,,1
112,1,6.5,,,,0
113,0,,,,,3
114,1,6.8,1.2,,0.0,2
115,2,,,,,0
116,3,7.0,13.0,80000.0,5.0,87
117,1,,3.0,,,3
118,1,6.7,,,,1
119,1,7.5,,,,1
120,0,,4.0,,,0
121,1,7.6,,,1.0,4
122,1,7.6,,,,0
123,1,,,,,1
124,1,7.4,9.0,,,1
125,1,6.9,1.8,41.0,,1
126,9,,,300.0,,1
127,1,,,,,1
128,1,8.0,,,,1
129,1,6.0,,,0.0,1
130,8,,,,,0
131,0,,,,,2
132,1,7.2,,,,1
133,9,,0.3,,-1.5,1
134,1,6.7,,,-1.0,1
135,1,6.2,,,1.0,1
136,6,,3.0,1335.0,,2
137,1,6.7,,,,0
138,1,,,,0.0,1
139,0,6.6,5.0,,,1
140,1,8.0,,12.0,1.5,2
141,1,7.8,,,,4
142,1,7.3,,,,0
143,3,6.9,,,0.5,1
144,8,,,,,1
145,1,6.4,,8.0,,0
146,8,,,,,2
147,1,6.6,0.5,,0.0,1
148,3,7.2,2.7,2800.0,,6
149,1,6.9,,,0.0,1
150,1,,,,0.5,1
151,1,6.8,1.5,,0.5,4
152,4,7.8,,138.0,,1
153,8,,,,,1
154,1,7.0,,,,1
155,1,7.9,,,,0
156,3,6.7,,,,2
157,1,7.0,0.1,,,1
158,0,,4.5,,,1
159,4,7.1,3.0,63.0,-1.0,1
160,1,,1.0,,1.5,2
161,1,,,,2.0,0
162,1,7.2,,,,1
163,0,,,,,0
164,1,8.1,0.1,,2.0,5
165,0,,,,,4
166,1,7.6,,20.0,,1
167,3,,,1.0,,0
168,3,6.3,3.0,14.0,4.0,1
169,0,,,,0.0,0
170,1,6.6,,,,0
171,9,,2.4,3.0,,1
172,1,,0.5,,0.0,1
173,1,6.7,1.5,,3.0,2
174,1,,,,,0
175,1,7.9,,,0.5,1
176,1,7.8,1.0,,0.5,3
177,1,6.0,,,0.0,1
178,1,6.4,,,0.5,1
179,1,7.9,,,2.0,1
180,1,,,,,0
181,1,7.0,1.3,,,6
182,0,,1.0,,,0
183,1,5.1,10.0,,4.0,3
184,1,6.0,,4.0,2.0,1
185,9,,,43.0,,1
186,1,,,,,1
187,0,,,,2.0,1
188,1,6.6,2.0,1500.0,,2
189,1,6.5,,,1.0,2
190,1,7.8,,,,0
191,1,6.4,1.5,7.0,,1
192,0,,,,1.5,0
193,0,,1.5,,1.0,2
194,1,8.0,0.3,,3.0,6
195,1,5.8,0.5,,-0.5,1
196,1,8.3,12.2,2.0,3.0,17
197,1,7.5,0.9,,1.0,1
198,8,,2.4,1.0,,1
199,0,,,,0.5,1
200,0,,1.9,,,1
201,1,7.5,2.5,,1.0,1
202,10,,7.0,2000.0,,5
203,3,7.5,,2000.0,-1.0,1
204,1,7.9,,,,0
205,6,,0.08,,0.0,2
206,1,5.5,,,,1
207,1,8.3,7.2,52.0,2.5,10
208,1,8.2,12.0,23.0,3.0,22
209,3,7.1,6.1,144.0,,21
210,1,6.4,,,,2
211,1,7.8,0.5,,2.0,8
212,1,7.8,5.0,,2.5,4
213,6,,,,,0
214,1,7.4,0.44,,,3
215,1,8.3,0.4,,,0
216,0,,,,,0
217,0,,,,1.5,1
218,6,,5.0,,,0
219,0,,,,,1
220,1,,,,,0
221,1,8.1,2.5,,1.5,9
222,1,8.2,,,1.0,2
223,6,,0.75,4.0,4.0,5
224,1,6.6,,,,2
225,1,,,,,1
226,7,,4.3,,2.0,3
227,1,5.6,,,,0
228,1,,,,,1
229,1,,,,,0
230,1,,2.0,,1.0,2
231,1,7.7,,,,1
232,1,7.0,1.4,,1.0,1
233,1,,,,,1
234,1,7.8,,,,2
235,1,8.3,0.75,,,4
236,1,5.6,,,5.0,1
237,1,6.2,1.0,,0.5,1
238,1,,,,,0
239,1,7.5,0.1,,-2.0,3
240,1,7.5,,,1.0,4
241,9,,,,0.0,1
242,1,7.2,,,,0
243,1,6.9,1.8,,,1
244,1,,,,0.5,1
245,1,6.3,0.7,5.0,0.0,3
246,1,6.0,,,0.5,1
247,1,,,,0.0,1
248,0,,0.64,,,1
249,1,,,,0.0,1
250,1,5.6,,,,0
251,1,7.6,,5.0,,1
252,0,,,,,1
253,1,7.0,,,,0
254,1,8.5,9.0,700.0,2.5,36
255,1,6.3,0.4,,0.0,3
256,1,7.1,0.1,,,1
257,1,8.4,8.0,3.0,,21
258,0,,1.5,,1.5,1
259,1,7.2,,,0.5,1
260,0,,35.0,,4.0,1
261,1,7.2,20.0,18.0,3.5,11
262,1,7.0,,,,0
263,1,,,,,0
264,1,7.3,0.4,,-1.5,1
265,1,5.5,,,1.0,1
266,0,,,2.0,,1
267,1,,,,,1
268,0,,,,1.5,0
269,1,7.9,13.0,142807.0,3.0,140
270,1,7.7,0.3,,-1.5,6
271,9,,6.1,,,1
272,1,7.1,,,,2
273,1,7.1,,,,1
274,4,6.1,,,,2
275,1,6.7,,,,1
276,1,6.8,,,,1
277,0,,,,,0
278,3,8.3,,,0.5,3
279,0,,,,,0
280,3,6.5,,,1.5,1
281,9,,5.0,,2.0,3
282,1,,,,,0
283,1,7.8,,,,1
284,0,,,,1.0,1
285,0,,4.6,,,1
286,1,,,,,0
287,1,7.3,,,0.5,2
288,1,,1.0,,0.0,1
289,3,6.0,1.4,,1.0,1
290,0,,,,,1
291,1,6.8,,17.0,0.5,1
292,9,,,,,0
293,1,7.1,,,,0
294,1,6.3,,,0.5,2
295,9,,0.34,,-3.5,2
296,1,7.3,,,0.5,2
297,1,7.0,11.0,,3.0,1
298,1,,,,,0
299,9,,,,1.5,1
300,8,,3.0,,,3
301,1,7.5,,,,1
302,1,,1.5,,,1
303,9,,,1.0,2.5,1
304,1,5.8,,,,1
305,1,,,,,0
306,0,,,,1.5,0
307,3,5.3,,,3.0,2
308,1,7.2,,,,0
309,1,5.8,0.3,9.0,,1
310,1,6.9,2.0,,1.5,3
311,1,6.0,,,0.5,3
312,3,,,,,1
313,0,,6.35,,,1
314,9,5.7,,1.0,1.0,1
315,1,5.1,,,,0
316,3,7.6,11.3,3022.0,0.5,17
317,1,6.0,0.7,,2.0,0
318,1,6.3,1.0,268.0,,0
319,1,6.9,0.1,,,5
320,1,6.4,0.4,,,2
321,9,,,,,3
322,1,6.8,1.0,11.0,2.0,1
323,1,4.9,,,,0
324,8,,,,,1
325,3,7.1,,,,9
326,1,7.3,1.8,,1.0,8
327,1,7.1,,,2.0,1
328,1,6.3,15.0,50.0,3.0,2
329,1,7.5,2.0,,,2
330,1,5.8,,,0.0,1
331,1,7.7,,,,1
332,6,,,,0.0,0
333,1,6.5,,170.0,2.0,1
334,0,,,,2.0,1
335,1,6.9,,10.0,1.0,1
336,1,6.0,0.6,20.0,3.0,7
337,1,5.0,,,3.0,0
338,1,5.2,,,,0
339,1,6.8,,,,0
340,2,,0.6,,,1
341,1,6.2,,,,0
342,1,4.3,,,2.0,1
343,1,,,,0.5,1
344,1,7.0,0.45,,-2.0,8
345,0,,,,,0
346,1,7.0,,,0.5,1
347,1,7.7,0.2,4.0,1.0,10
348,1,7.0,,,,0
349,7,,10.0,226.0,3.0,2
350,9,,,,,1
351,1,7.1,,,,0
352,1,7.6,1.5,279.0,0.5,2
353,1,7.3,,97.0,1.0,2
354,0,,,,,0
355,1,6.9,6.0,50.0,,5
356,1,7.8,1.0,,,7
357,1,7.1,0.7,,,1
358,1,7.0,1.5,,0.0,3
359,1,7.2,,,0.5,4
360,3,7.5,2.5,17.0,1.5,2
361,9,,6.0,10.0,,0
362,9,,7.5,,2.5,1
363,1,,,,,1
364,0,,,6.0,,1
365,3,7.2,13.0,28.0,,45
366,1,5.5,,,,1
367,1,,,,,1
368,0,,,,,0
369,8,,5.0,20.0,,1
370,6,,500.0,,,0
371,8,,,,3.0,0
372,1,7.3,1.06,500.0,,1
373,1,6.0,1.5,,,1
374,1,6.5,0.1,,,1
375,3,5.2,3.05,1.0,-0.5,3
376,6,,2.5,6.0,3.0,2
377,1,,,,0.0,1
378,1,6.6,,,,1
379,1,6.0,,18.0,4.0,1
380,1,,6.0,,,1
381,1,6.5,12.0,27.0,1.5,29
382,1,6.0,1.0,,0.5,1
383,3,7.7,15.0,261.0,0.0,5
384,1,7.1,0.1,,0.0,1
385,1,,,,,1
386,1,7.6,0.4,,-1.0,7
387,1,7.1,,,,0
388,1,6.0,,,,0
389,1,7.0,,,,2
390,9,,3.0,4.0,,4
391,0,,,,,2
392,1,7.4,1.0,,,1
393,1,7.8,9.0,50.0,2.5,13
394,1,7.1,0.8,1.0,,9
395,0,,1.0,,,2
396,1,6.7,,14.0,,1
397,9,,,,,0
398,1,8.1,10.0,400.0,2.0,19
399,1,7.8,1.0,,0.5,2
400,1,7.7,10.0,75.0,1.5,6
401,1,,,,,0
402,1,6.2,,,0.0,2
403,1,6.8,,,0.0,1
404,1,6.9,2.0,161.0,3.0,2
405,1,,,,,1
406,9,,5.4,,,1
407,6,6.0,9.0,2.0,2.0,2
408,1,7.6,,,,1
409,1,8.4,29.0,3022.0,3.5,294
410,9,6.3,0.1,120.0,-3.0,2
411,1,6.4,2.0,181.0,2.0,1
412,1,,,,,1
413,1,7.1,0.2,,,8
414,1,6.9,,,1.5,1
415,1,,,,,3
416,6,,,9.0,1.0,1
417,1,8.0,,10600.0,,0
418,1,7.9,,,0.5,1
419,8,,62.3,41.0,,12
420,1,,,,,0
421,1,7.7,,,1.5,2
422,1,7.8,0.65,,,3
423,1,7.2,,,,3
424,9,,12.0,,3.0,9
425,1,7.0,0.11,,,1
426,1,6.9,,,,1
427,1,,,,,1
428,3,6.4,,5.0,2.0,0
429,1,7.5,,60000.0,,0
430,1,6.5,0.2,,,1
431,9,,,,,0
432,1,7.8,,,,1
433,1,7.2,0.3,,-1.0,8
434,1,7.0,0.2,,-2.0,2
435,9,,,,2.0,1
436,1,6.5,,,,0
437,1,6.0,,100.0,,1
438,1,7.9,,,,0
439,9,,,,,0
440,0,,,,,1
441,1,7.7,3.0,,2.0,2
442,1,7.3,1.0,1.0,0.5,3
443,1,7.3,,9.0,,0
444,8,,74.0,73.0,,5
445,8,,149.35,,4.0,1
446,1,7.7,0.7,,,11
447,1,7.3,13.0,,2.0,1
448,0,,2.2,,,2
449,6,,2.5,507.0,1.5,4
450,1,7.5,,1.0,1.0,2
451,1,5.7,,,1.0,0
452,0,5.8,,,1.0,0
453,0,5.8,,,,0
454,1,6.0,0.5,,,1
455,6,,,,,1
456,1,8.6,1.0,,1.5,5
457,0,,,5.0,,2
458,1,6.0,0.5,,-0.5,1
459,1,,0.03,,,1
460,1,6.3,,,,1
461,8,,,,2.0,0
462,1,7.5,,,,1
463,1,7.6,3.0,17.0,,6
464,1,7.1,0.83,,,7
465,1,6.1,0.9,1.0,,2
466,1,7.6,1.5,,0.0,1
467,9,,,5.0,,0
468,9,,,,,1
469,1,7.7,0.57,1.0,-0.5,17
470,1,7.6,0.56,,-0.5,12
471,1,7.5,1.26,,-0.5,15
472,1,7.1,1.25,,-0.5,11
473,1,6.5,,,,0
474,1,8.2,0.3,,,9
475,1,6.0,0.75,,-1.5,7
476,1,6.9,,,,0
477,1,6.9,0.3,,-2.5,4
478,1,7.0,0.2,,-3.0,9
479,1,8.3,,30000.0,,0
480,1,,,,2.0,0
481,1,7.7,,5.0,1.0,3
482,1,6.6,0.8,1.0,0.0,4
483,1,7.4,,,,0
484,1,7.9,10.5,12.0,1.5,8
485,1,7.0,1.2,27.0,0.0,25
486,1,6.5,,,0.5,1
487,1,6.7,0.2,,1.0,2
488,1,6.4,,22.0,,2
489,6,,2.0,,,3
490,1,5.6,,,,1
491,1,8.0,,,,2
492,1,7.8,0.53,32700.0,4.0,11
493,1,5.1,,,3.0,0
494,1,8.2,2.0,179.0,1.5,5
495,1,7.5,5.0,10.0,1.5,62
496,8,,,,2.0,0
497,1,7.3,,,,0
498,1,7.0,,,,0
499,1,7.4,0.15,4.0,-2.5,3
500,1,6.0,,,2.0,1
501,1,6.6,,,,3
502,1,,,,2.0,0
503,1,8.0,1.5,,,2
504,8,,6.0,,,2
505,1,7.4,1.2,2.0,0.0,11
506,1,7.8,0.23,,2.0,14
507,1,7.6,0.21,6.0,-3.0,5
508,1,6.9,0.12,,-4.0,1
509,1,5.8,1.0,,1.0,1
510,0,,3.0,,,2
511,3,8.2,2.0,30.0,1.0,3
512,1,8.2,1.0,11.0,,12
513,1,7.1,0.6,,-0.5,1
514,8,,9.14,,,1
515,7,,,,4.0,2
516,9,,,,,1
517,1,6.7,,30.0,2.0,1
518,1,8.1,10.0,1223.0,2.5,156
519,0,,,,,1
520,1,7.1,1.0,2306.0,-0.5,7
521,1,7.3,0.4,2.0,-1.5,1
522,3,8.0,17.0,300.0,,58
523,3,8.6,42.0,168.0,4.0,621
524,3,7.3,9.0,,2.0,5
525,1,7.9,,2.0,9.0,0
526,1,7.9,5.0,1790.0,,8
527,1,7.5,0.6,75.0,,13
528,1,7.0,,,,0
529,1,7.0,,,,1
530,6,,,,,0
531,1,8.3,6.6,1362.0,2.5,304
532,9,,,,0.0,0
533,3,7.1,10.0,,3.0,10
534,1,6.9,6.0,,,5
535,3,7.3,1.0,3.0,2.0,1
536,1,7.0,2.0,,1.0,4
537,1,7.8,,74.0,1.5,5
538,1,7.3,7.3,,4.0,11
539,1,7.2,0.6,,-1.0,3
540,1,6.5,1.0,7.0,4.0,1
541,1,6.0,3.0,,,1
542,1,6.3,,,0.0,1
543,1,7.8,0.1,,1.5,6
544,1,6.9,5.0,4.0,1.5,1
545,1,7.0,,,0.0,1
546,1,5.9,,,,1
547,1,,,,,0
548,3,7.0,,8.0,,1
549,8,,2.4,,,1
550,1,7.3,,,,0
551,1,6.7,,,,0
552,1,6.5,2.0,7.0,2.0,4
553,8,,19.81,,,1
554,3,8.1,0.61,,,9
555,1,6.4,0.1,,-4.0,1
556,1,6.7,,,,1
557,1,7.5,0.3,,-1.0,5
558,1,7.8,,1.0,,0
559,1,7.8,,3.0,,2
560,1,7.2,,16.0,1.5,2
561,1,7.0,,,,0
562,1,5.8,,,0.0,1
563,1,,,,,1
564,1,6.4,,100.0,,1
565,1,8.6,0.5,1530.0,,41
566,1,7.7,2.0,,-2.0,11
567,1,7.6,,1.0,2.0,2
568,8,,,,,0
569,1,7.5,0.2,,-1.0,5
570,1,7.3,1.2,,,2
571,1,7.8,2.5,,,5
572,1,7.0,0.7,4.0,0.0,1
573,1,7.5,0.3,,,2
574,1,6.1,6.0,,,1
575,8,,3.0,,,1
576,3,6.0,,,,1
577,1,6.9,3.6,,0.5,7
578,1,7.3,0.3,68.0,,2
579,1,6.3,2.0,,,1
580,6,,,,,0
581,8,,2.0,,2.0,0
582,1,8.1,6.54,33.0,2.0,219
583,1,7.0,0.3,,-2.0,4
584,1,4.5,3.0,,0.0,2
585,1,7.8,0.33,,,5
586,8,,19.81,,,1
587,9,,1.52,,,3
588,1,6.4,0.07,,-3.0,2
589,1,6.8,,,,2
590,6,,0.15,,-1.0,1
591,6,,0.05,,-1.0,1
592,6,,0.15,31.0,,1
593,6,,0.1,,-1.0,2
594,8,,,,,1
595,1,9.0,23.0,10000.0,4.0,328
596,8,,2.5,1.0,,2
597,8,,,,,1
598,1,5.5,0.7,,,1
599,8,,4.8,,,1
600,6,,6.0,,-1.0,2
601,1,5.8,3.0,,,1
602,6,,0.05,,-1.0,1
603,1,7.4,,,0.0,2
604,1,7.6,,9.0,,0
605,1,7.2,0.06,,,1
606,6,,,,1.0,1
607,1,6.8,1.0,,,1
608,1,7.2,,476.0,,2
609,8,,,,,1
610,1,6.3,,40.0,2.0,2
611,3,6.4,15.0,7.0,1.0,31
612,0,,2.4,1.0,,1
613,1,7.4,3.0,1.0,1.5,33
614,1,7.4,1.0,6.0,0.5,2
615,9,,1.0,,,1
616,1,7.3,,,,1
617,6,,,,4.0,4
618,9,,3.0,7.0,,5
619,3,6.7,0.33,1243.0,,4
620,0,,18.28,,,1
621,1,6.1,,,-1.0,3
622,1,5.5,,,,1
623,1,6.2,,8.0,,1
624,1,7.1,1.0,1.0,1.0,7
625,1,7.3,,,,0
626,1,6.5,,,,1
627,1,6.8,1.0,,,0
628,1,7.3,,,,1
629,1,7.1,,,,0
630,1,5.3,0.9,,,0
631,1,6.3,0.4,,-2.0,1
632,6,,0.3,,-2.0,13
633,1,7.7,30.0,56.0,5.0,100
634,1,6.8,10.0,,,1
635,1,6.5,,,-1.0,1
636,1,5.8,1.2,,2.0,1
637,1,7.0,,,,0
638,1,8.6,32.0,2.0,3.0,332
639,1,7.3,1.8,,,2
640,1,7.9,1.3,65.0,0.5,3
641,1,7.0,,,,0
642,1,5.5,0.7,,,0
643,1,6.0,,,0.0,1
644,9,,0.1,,-3.0,5
645,0,,2.7,,,2
646,1,7.6,,115.0,2.0,3
647,1,6.2,,,,1
648,1,,,,1.5,0
649,1,6.5,,,0.5,0
650,3,7.8,524.6,5.0,5.0,17
651,1,5.0,0.23,,-1.0,1
652,6,,,,0.0,1
653,1,6.1,0.1,,,1
654,1,8.3,5.0,,2.5,60
655,1,7.0,1.0,,-1.0,8
656,1,6.8,0.8,,-2.0,9
657,1,7.4,0.4,,-2.0,1
658,0,,1.0,,3.0,4
659,1,5.0,0.1,,-2.0,1
660,1,8.2,0.2,,1.0,7
661,8,,4.0,9.0,4.0,1
662,1,7.3,1.0,,,5
663,3,7.5,1.0,28.0,,1
664,1,6.5,,,,0
665,1,6.7,0.11,,-4.0,8
666,1,7.8,5.7,,3.0,1
667,1,6.8,,13100.0,,1
668,1,7.5,1.0,,-2.0,19
669,1,6.7,0.75,,-2.5,12
670,1,8.2,0.5,,-1.0,7
671,1,9.5,25.0,2226.0,4.0,1279
672,0,6.7,,,,0
673,1,6.6,,,0.0,1
674,1,6.7,0.3,,-3.0,5
675,1,7.4,,,,0
676,1,6.8,9.0,66.0,4.0,19
677,1,6.8,0.4,,-2.0,5
678,1,6.4,0.4,,-2.0,2
679,1,6.5,0.4,,-2.0,4
680,1,6.6,1.0,,-0.5,5
681,1,7.6,0.65,2.0,-0.5,34
682,1,,3.6,,,2
683,1,6.4,,,2.0,0
684,9,,0.9,,2.0,3
685,2,6.5,,,,1
686,1,6.6,0.2,,-3.0,6
687,1,7.3,0.9,,-0.5,2
688,1,6.4,0.9,,,0
689,1,7.0,0.1,,-4.0,9
690,1,6.5,,,,0
691,1,6.5,,,,0
692,1,6.9,0.1,,-3.5,9
693,1,6.1,0.04,1.0,,1
694,1,6.8,0.1,,,2
695,1,7.2,1.0,,-2.0,12
696,1,7.0,0.1,,-3.5,10
697,1,7.0,0.81,4.0,0.0,1
698,1,7.2,0.34,3.0,,1
699,1,5.7,0.1,,-2.0,1
700,1,4.5,,,,1
701,1,6.5,,,,1
702,8,,6.0,2.0,5.0,9
703,1,7.3,0.2,15.0,-2.0,2
704,0,,5.5,1.0,,7
705,6,,,1028.0,2.0,2
706,1,6.2,1.0,1.0,3.0,1
707,1,7.0,,1.0,,0
708,8,,235.0,2000.0,,6
709,1,7.1,0.12,,-2.0,3
710,1,8.5,4.5,,2.5,90
711,1,7.9,15.0,,3.0,22
712,1,6.6,,,0.0,1
713,1,7.2,,,0.5,1
714,0,,0.08,,,1
715,3,9.2,51.8,139.0,3.5,426
716,3,7.0,,,0.0,1
717,1,6.9,0.6,,0.0,35
718,1,6.6,,,-3.0,2
719,8,,0.28,,,11
720,1,7.5,5.8,26.0,2.0,168
721,1,6.8,0.08,,-2.0,5
722,1,7.6,0.05,,,1
723,1,6.3,0.1,,-3.0,4
724,1,7.6,,71.0,2.0,4
725,8,,,1.0,,1
726,1,8.7,10.7,,2.5,83
727,7,,60.0,27.0,,1
728,1,7.0,,,,0
729,1,6.3,,38.0,,2
730,1,6.0,,,,0
731,1,7.6,0.1,,-1.0,3
732,1,6.0,0.1,,-4.0,2
733,1,7.2,0.1,,-3.0,6
734,1,6.5,0.08,,-2.0,3
735,3,6.1,3.0,2.0,2.0,2
736,1,7.0,7.0,,2.5,4
737,1,7.3,2.0,,1.0,1
738,1,7.8,0.4,6.0,,1
739,6,,4.7,355.0,,1
740,1,6.5,,,,0
741,6,,,,,0
742,1,7.6,0.1,7.0,0.0,5
743,8,,6.0,,3.0,0
744,1,7.1,0.2,,1.0,3
745,1,5.5,0.2,,1.0,7
746,1,8.1,3.0,110.0,1.5,60
747,0,,,,-0.5,1
748,1,7.8,0.42,3.0,0.5,13
749,1,7.8,2.0,,1.0,7
750,1,7.2,0.8,,0.0,1
751,6,,,,,0
752,1,7.0,,,,0
753,1,5.5,,71.0,1.0,2
754,1,6.1,,14.0,1.5,1
755,1,6.6,0.08,300.0,,1
756,1,6.4,0.1,,,1
